Species	HighlyConserved	Conserved	Matched	Orphan	Complex	ncRNA	Intergenic	Fragment
Apro	240746	1796022	15218096	1759498	1394929	0	1668492	846854
Atha	532535	3297478	37858426	35871864	373810	1179712	40019008	13515
Bdis	885267	4779051	73140767	34364478	392212	7077453	151027171	330907
Crei	561416	4803526	55477559	12845758	407855	0	34514930	11574322
Csub	403610	4169168	28709545	8070999	404026	49099	6834508	185661
Cvar	379268	2953599	26524892	5253753	100022	0	9481100	1466878
Mpus	212775	2020982	15547120	2439787	126764	0	1473344	137488
Msrc	187425	1912215	15408872	2144320	56616	0	1256887	22991
Mtru	927660	5681424	70883643	102028670	0	751285	219668005	12859704
Oluc	180304	1593601	10486794	390752	77979	0	468958	6500
Osat	801804	4116256	60415413	51763906	2748881	648523	261047138	605620
Otau	134559	1062191	10047716	1025573	77574	12476	61358	30959
Vcar	537093	5204144	66221828	16658441	595440	0	39833788	8633669
